# pos	cp	char	name
106	362	Ū	LATIN CAPITAL LETTER U WITH MACRON
107	107	k	LATIN SMALL LETTER K
108	364	Ŭ	LATIN CAPITAL LETTER U WITH BREVE
109	109	m	LATIN SMALL LETTER M
110	366	Ů	LATIN CAPITAL LETTER U WITH RING ABOVE
111	367	ů	LATIN SMALL LETTER U WITH RING ABOVE
112	112	p	LATIN SMALL LETTER P
113	113	q	LATIN SMALL LETTER Q
114	370	Ų	LATIN CAPITAL LETTER U WITH OGONEK
115	371	ų	LATIN SMALL LETTER U WITH OGONEK
116	372	Ŵ	LATIN CAPITAL LETTER W WITH CIRCUMFLEX
117	373	ŵ	LATIN SMALL LETTER W WITH CIRCUMFLEX
118	374	Ŷ	LATIN CAPITAL LETTER Y WITH CIRCUMFLEX
119	119	w	LATIN SMALL LETTER W
120	120	x	LATIN SMALL LETTER X
121	377	Ź	LATIN CAPITAL LETTER Z WITH ACUTE
122	378	ź	LATIN SMALL LETTER Z WITH ACUTE
123	379	Ż	LATIN CAPITAL LETTER Z WITH DOT ABOVE
124	380	ż	LATIN SMALL LETTER Z WITH DOT ABOVE
125	381	Ž	LATIN CAPITAL LETTER Z WITH CARON
126	382	ž	LATIN SMALL LETTER Z WITH CARON
127	383	ſ	LATIN SMALL LETTER LONG S
128	384	ƀ	LATIN SMALL LETTER B WITH STROKE
129	385	Ɓ	LATIN CAPITAL LETTER B WITH HOOK
130	386	Ƃ	LATIN CAPITAL LETTER B WITH TOPBAR
131	387	ƃ	LATIN SMALL LETTER B WITH TOPBAR
132	388	Ƅ	LATIN CAPITAL LETTER TONE SIX
133	389	ƅ	LATIN SMALL LETTER TONE SIX
134	902	Ά	GREEK CAPITAL LETTER ALPHA WITH TONOS
135	391	Ƈ	LATIN CAPITAL LETTER C WITH HOOK
136	904	Έ	GREEK CAPITAL LETTER EPSILON WITH TONOS
137	905	Ή	GREEK CAPITAL LETTER ETA WITH TONOS
138	906	Ί	GREEK CAPITAL LETTER IOTA WITH TONOS
139	395	Ƌ	LATIN CAPITAL LETTER D WITH TOPBAR
140	908	Ό	GREEK CAPITAL LETTER OMICRON WITH TONOS
141	397	ƍ	LATIN SMALL LETTER TURNED DELTA
142	910	Ύ	GREEK CAPITAL LETTER UPSILON WITH TONOS
143	911	Ώ	GREEK CAPITAL LETTER OMEGA WITH TONOS
144	912	ΐ	GREEK SMALL LETTER IOTA WITH DIALYTIKA AND TONOS
145	1169	ґ	CYRILLIC SMALL LETTER GHE WITH UPTURN
146	402	ƒ	LATIN SMALL LETTER F WITH HOOK
147	1171	ғ	CYRILLIC SMALL LETTER GHE WITH STROKE
148	916	Δ	GREEK CAPITAL LETTER DELTA
149	917	Ε	GREEK CAPITAL LETTER EPSILON
150	918	Ζ	GREEK CAPITAL LETTER ZETA
151	919	Η	GREEK CAPITAL LETTER ETA
152	920	Θ	GREEK CAPITAL LETTER THETA
153	409	ƙ	LATIN SMALL LETTER K WITH HOOK
154	1178	Қ	CYRILLIC CAPITAL LETTER KA WITH DESCENDER
155	411	ƛ	LATIN SMALL LETTER LAMBDA WITH STROKE
156	412	Ɯ	LATIN CAPITAL LETTER TURNED M
157	413	Ɲ	LATIN CAPITAL LETTER N WITH LEFT HOOK
158	926	Ξ	GREEK CAPITAL LETTER XI
159	927	Ο	GREEK CAPITAL LETTER OMICRON
160	416	Ơ	LATIN CAPITAL LETTER O WITH HORN
161	417	ơ	LATIN SMALL LETTER O WITH HORN
162	1186	Ң	CYRILLIC CAPITAL LETTER EN WITH DESCENDER
163	931	Σ	GREEK CAPITAL LETTER SIGMA
164	420	Ƥ	LATIN CAPITAL LETTER P WITH HOOK
165	933	Υ	GREEK CAPITAL LETTER UPSILON
166	934	Φ	GREEK CAPITAL LETTER PHI
167	935	Χ	GREEK CAPITAL LETTER CHI
168	936	Ψ	GREEK CAPITAL LETTER PSI
169	937	Ω	GREEK CAPITAL LETTER OMEGA
170	170	ª	FEMININE ORDINAL INDICATOR
171	939	Ϋ	GREEK CAPITAL LETTER UPSILON WITH DIALYTIKA
172	940	ά	GREEK SMALL LETTER ALPHA WITH TONOS
173	941	έ	GREEK SMALL LETTER EPSILON WITH TONOS
174	942	ή	GREEK SMALL LETTER ETA WITH TONOS
175	431	Ư	LATIN CAPITAL LETTER U WITH HORN
176	432	ư	LATIN SMALL LETTER U WITH HORN
177	1201	ұ	CYRILLIC SMALL LETTER STRAIGHT U WITH STROKE
178	946	β	GREEK SMALL LETTER BETA
179	947	γ	GREEK SMALL LETTER GAMMA
180	948	δ	GREEK SMALL LETTER DELTA
181	949	ε	GREEK SMALL LETTER EPSILON
182	950	ζ	GREEK SMALL LETTER ZETA
183	1207	ҷ	CYRILLIC SMALL LETTER CHE WITH DESCENDER
184	952	θ	GREEK SMALL LETTER THETA
185	953	ι	GREEK SMALL LETTER IOTA
186	698	ʺ	MODIFIER LETTER DOUBLE PRIME
187	1211	һ	CYRILLIC SMALL LETTER SHHA
188	956	μ	GREEK SMALL LETTER MU
189	957	ν	GREEK SMALL LETTER NU
190	958	ξ	GREEK SMALL LETTER XI
191	959	ο	GREEK SMALL LETTER OMICRON
192	960	π	GREEK SMALL LETTER PI
193	1217	Ӂ	CYRILLIC CAPITAL LETTER ZHE WITH BREVE
194	1218	ӂ	CYRILLIC SMALL LETTER ZHE WITH BREVE
195	195	Ã	LATIN CAPITAL LETTER A WITH TILDE
196	964	τ	GREEK SMALL LETTER TAU
197	197	Å	LATIN CAPITAL LETTER A WITH RING ABOVE
198	198	Æ	LATIN CAPITAL LETTER AE
199	199	Ç	LATIN CAPITAL LETTER C WITH CEDILLA
200	200	È	LATIN CAPITAL LETTER E WITH GRAVE
201	969	ω	GREEK SMALL LETTER OMEGA
202	970	ϊ	GREEK SMALL LETTER IOTA WITH DIALYTIKA
203	971	ϋ	GREEK SMALL LETTER UPSILON WITH DIALYTIKA
204	204	Ì	LATIN CAPITAL LETTER I WITH GRAVE
205	461	Ǎ	LATIN CAPITAL LETTER A WITH CARON
206	974	ώ	GREEK SMALL LETTER OMEGA WITH TONOS
207	975	Ϗ	GREEK CAPITAL KAI SYMBOL
208	1232	Ӑ	CYRILLIC CAPITAL LETTER A WITH BREVE
209	1233	ӑ	CYRILLIC SMALL LETTER A WITH BREVE
210	210	Ò	LATIN CAPITAL LETTER O WITH GRAVE
211	1235	ӓ	CYRILLIC SMALL LETTER A WITH DIAERESIS
212	212	Ô	LATIN CAPITAL LETTER O WITH CIRCUMFLEX
213	981	ϕ	GREEK PHI SYMBOL
214	470	ǖ	LATIN SMALL LETTER U WITH DIAERESIS AND MACRON
